Vamos tentar alguma coisa!	ALGUM COISA TENTAR
Ele não sabia do perigo.	ELE PERIGO NÃO_SABER {NÃO}(headshake)
Ele não estava ciente do perigo.	ELE CIENTE PERIGO (NÃO)
Como estou muito ocupado, não conte comigo.	COMO OCUPAR COMIGO (NÃO)
O grande prazer da vida é fazer o que as pessoas dizem que você não consegue.	QUE VOCÊ PRAZER VIDA PESSOA O FAZER DIZER CONSEGUIR (NÃO)
Pode realmente ser verdade.	REAL VERDADE
É perto o bastante para se caminhar até lá?	{PERTO BASTANTE CAMINHAR LÁ}(q)
Essas pérolas parecem reais.	ESSE PÉROLAS REAIS PARECER
Enquanto eles estavam fora no feriado, seus vizinhos tomaram conta do cachorro.	ENQUANTO FORA ELES VIZINHOS CONTA FERIADO CACHORRO SEU TOMAR
Eu o comprei por cerca de 12 dólares.	CERCA EU 12 O DÓLAR COMPRAR
Eu li uma revista para matar tempo.	EU REVISTA TEMPO LER MATAR
Aqui está ele!	AQUI ELE
Eu vou trazer minha irmã para a festa.	EU FESTA MULHER IRMÃO MEU TRAZER
Eu tenho bastante certeza.	EU CERTEZA BASTANTE TER
Você tem três canetas.	VOCÊ 3 CANETA TER
Eu peguei o homem roubando o dinheiro.	EU HOMEM ROUBAR DINHEIRO PEGAR
Sinto muito, mas acho que você está errado.	EU SENTIR MAS VOCÊ ACHAR ERRAR
A cadeira está quebrada. É melhor você achar alguém que a conserte.	CADEIRA QUEBRAR MELHOR VOCÊ A ACHAR ALGUÉM CONSERTAR
Foi um filme tão maravilhoso que eu o vi cinco vezes.	TÃO FILME EU O VER 5 MULHER VEZ IR
Aquela casa é muito pequena.	AQUELE CASA PEQUENO
Quão alto?	{QUÃO ALTO}(q)
De que altura?	{ALTURA}(q)
Eu me encontrei por acaso com o meu tio na estação.	EU ACASO MEU EU TIO ESTAÇÃO ENCONTRAR
Ele seria o último homem a quebrar suas promessas.	ELE HOMEM PROMESSAS SEU QUEBRAR
A inundação foi o maior desastre que eles já tiveram.	JÁ DESASTRE ELES INUNDAÇÃO IR TER
Ela virou-se quando escutou a voz dele.	ELE VIRAR QUANDO VOZ DELE ELE ESCUTAR
Nada é mais valioso do que a saúde.	NADA VALIOSO MAIS DO QUE SAÚDE
Íamos jogar xadrez por um tempo.	XADREZ TEMPO JOGAR NÓS IR
Ele mora aqui?	{AQUI ELE MORAR}(q)
Os caracteres chineses são muito bonitos.	CARACTERES BONITO
Não, ele não é o meu novo namorado.	ELE MEU NOVO NAMORADO (NÃO)
Taro ficou três dias no Japão.	TARO DIA 3 JAPÃO FICAR
O autor traduziu o conto de fadas para nossa língua materna.	MATERNO AUTOR CONTO FADAS LÍNGUA NOSSO TRADUZIR
Ele tem um relógio muito caro.	CARO ELE RELÓGIO TER
No fim das contas é o talento que conta na música.	TALENTO CONTAS FIM MÚSICA CONTAR
Eu tenho que escrever uma carta. Você tem papel?	{EU CARTA ESCREVER VOCÊ PAPEL TER}(q)
Pegue três de cada vez.	CADA VEZ 3 ELE PEGAR
Ela teve que escolher suas palavras cuidadosamente.	CUIDADOSO ELE PALAVRAS SEU ESCOLHER
Felizmente nenhum dos passageiros se machucou.	FELIZ NENHUM PASSAGEIROS MACHUCAR
Meu chefe não me desculpou por chegar atrasado à reunião.	CHEFE MEU EU REUNIÃO CHEGAR ATRASAR DESCULPAR (NÃO)
Quem quiser fazer parte do nosso clube será bem-vindo.	QUEM PARTE NOSSO BEM VINDO CLUBE FAZER QUERER
Quem quiser entrar no nosso clube será bem-vindo.	QUEM CLUBE NOSSO QUERER ENTRAR BEM VINDO
Naoko corre rápido.	NAOKO RÁPIDO CORRER
Naoko é uma corredora rápida.	NAOKO RÁPIDO MULHER CORREDOR
Ele foi ferido por uma bala.	ELE BALA FERIR
Eu não conheço todos os alunos.	EU TODO ALUNOS CONHECER (NÃO)
Nunca me deixe ir.	EU IR DEIXAR NUNCA NÃO
Sempre dê a preferência ao tráfego que vem da direita.	SEMPRE DÊ TRÁFEGO PREFERÊNCIA DIREITA VIR
Sempre dê a vez aos carros vindo da direita.	SEMPRE DÊ CARROS VEZ DIREITA VIR
O professor escreveu palavras francesas no quadro.	FRANCESAS PROFESSOR PALAVRAS QUADRO ESCREVER
Eu fui para a Europa antes da guerra.	ANTES EU EUROPA GUERRA IR
Ela é gentil por natureza.	ELE GENTIL NATUREZA
Subindo o rio duas milhas, há uma ponte.	2 RIO MILHA HAVER PONTE SUBIR
Ele tentou levantar a pedra em vão.	ELE PEDRA IR LEVANTAR TENTAR
Ele sabe como usar bem o seu tempo.	BEM COMO ELE SEU TEMPO USAR SABER
Nós temos mais clientes do que podemos contar.	DO QUE NÓS MAIS PODER CLIENTES CONTAR TER
Diga-me o que você fez nas suas férias.	VOCÊ SEU EU FÉRIAS DIZER FAZER
Ela disse que iria visitar Jack com as suas irmãs.	ELE JACK SEU VISITAR MULHER IRMÃO DIZER
Eu amo rock.	EU ROCK AMAR
Não estou com vontade de comer agora.	AGORA VONTADE COMER (NÃO)
Ele esquiava bem quando era novo.	BEM ELE ESQUIAR QUANDO NOVO
Nós temos poucas oportunidades de falar alemão.	NÓS POUCO ALEMÃO OPORTUNIDADES TER FALAR
Tenho que fazer o jantar hoje.	HOJE JANTAR FAZER
O plano falhou, no fim das contas.	PLANO FIM CONTAS FALHAR
A história não está de acordo com os fatos.	ACORDO HISTÓRIA FATOS (NÃO)
Assim está melhor.	ASSIM MELHOR
Melhorou.	ELE MELHORAR
Melhor assim.	MELHOR ASSIM
Onde está seu pai?	PAI SEU ESPERA AÍ (NÃO)
O natal é um feriado especial.	NATAL ESPECIAL FERIADO
Daiane é sua meia irmã também, George.	TAMBÉM DAIANE GEORGE IRMÃO SEU MEIA
Eu prefiro morrer a me render.	EU EU MORRER RENDER PREFERIR
Depois de tudo que fizemos ele ainda era ingrato.	DEPOIS AINDA TUDO ELE INGRATO FAZER
Me dê um pouco de leite.	EU LEITE DAR
Você pode usar essa caneta.	VOCÊ ESSE CANETA USAR PODER
Ele foi se deitar.	ELE DEITAR
Meu lápis caiu da borda da minha mesa.	LÁPIS MEU BORDA MESA MEU CAIR
O rio desce das montanhas para a baía abaixo.	ABAIXO RIO MONTANHAS BAÍA DESCER
O ato conhecido como terrorismo, que nos arranca em um instante nossos dias pacíficos de felicidade, certamente merece ser chamado de um inimigo de toda a humanidade.	ATO TERRORISMO FELICIDADE HUMANIDADE NOSSO ARRANCAR INSTANTE TODA A CONHECER PESSOA MERECER
O Sr. Brown fez o seu filho aprender chinês.	SR. BROWN FILHO CHINÊS SEU APRENDER FAZER
Kato fez muitas perguntas sobre os Estados Unidos para ele.	KATO PERGUNTAS ESTADOS UNIDOS MUITAS DELE FAZER
O visitante era ninguém menos que o diretor.	VISITANTE DIRETOR MENOS
O problema é no motor.	PROBLEMA MOTOR
A fome o fez roubar.	FOME O ROUBAR FAZER
É provável que ele chegue logo.	LOGO PROVÁVEL ELE
Seja confiante. Você pode fazer isso.	CONFIANTE VOCÊ ISSO FAZER PODER
A aula começou na hora certa.	AULA CERTO HORA COMEÇAR
Eu divido um apartamento com meu irmão.	EU APARTAMENTO IRMÃO MEU DIVIDIR
Se você quer estudar nos Estados Unidos, você precisa de um visto de estudante.	SE VOCÊ VOCÊ QUERER ESTADOS UNIDOS ESTUDANTE VISTO ESTUDAR PRECISAR
O que você está lendo?	{O VOCÊ LER}(q)
O remédio tinha efeito imediato.	IMEDIATO REMÉDIO EFEITO TER
Eu gosto da arrumação dos móveis nessa sala.	EU ESSE ARRUMAÇÃO MÓVEIS SALA GOSTAR
Eu o parabenizei pelo nascimento do filho dele.	EU O NASCIMENTO FILHO DELE PARABENIZAR
Ele nunca mais olhou para trás.	ELE MAIS OLHAR NUNCA NÃO
Ele parece ser gentil.	ELE GENTIL PARECER
O vestido é de seda.	VESTIDO SEDA
Ele se perdeu em seus pensamentos.	ELE PENSAMENTOS SEU PERDER
A casa tinha um muro de pedra em volta dela.	CASA PEDRA MURO VOLTA ELE TER
Você não deve estacionar aqui.	AQUI VOCÊ ESTACIONAR DEVER (NÃO)
Muitos estudantes participaram do concurso.	ESTUDANTES CONCURSO MUITOS PARTICIPAR
Ele tem cabelo loiro.	LOIRO ELE CABELO TER
Somente a língua portuguesa possui mesóclise.	SOMENTE PORTUGUÊS LÍNGUA MESÓCLISE POSSUIR
Ela foi deixada sozinha na sala.	ELE SÓ SALA DEIXAR
Vista a criança com essas roupas.	ESSE VISTA CRIANÇA ROUPAS
Ele tentou aproximar-se dela de todas as maneiras possíveis.	ELE TODAS AS ELE POSSÍVEIS MANEIRAS APROXIMAR TENTAR
É muito difícil dominar francês em dois ou três anos.	DIFÍCIL DOMINAR OU FRANCÊS 2 3 ANO
Ela levá-lo-ia para casa se fosse necessário.	CASA ELE O NECESSÁRIO FOSSAR
Eu gosto mais de filmes engraçados.	EU FILMES MAIS GOSTAR ENGRAÇAR
Eu prefiro comédias.	EU COMÉDIAS PREFERIR
Seu rosto ficou vermelho.	ROSTO VERMELHO SEU FICAR
O professor, acenando com a mão, me chamou.	PROFESSOR EU MÃO ACENAR PESSOA
Lá vai nosso ônibus.	LÁ ÔNIBUS NOSSO ELE IR
As florestas tropicais devem ser preservadas.	FLORESTAS PRESERVAR DEVER
Ele foi direto para um lugar onde boa comida era servida.	ESPERA AÍ COMIDA ELE DIRETO LUGAR IR SERVIR
Qual é o filme mais popular atualmente?	ATUAL FILME POPULAR MAIS QUAL (NÃO)
Nós escutamos a porta fechar.	NÓS PORTA FECHAR ESCUTAR
Eu tenho que terminar um artigo sobre a economia japonesa.	JAPONÊS EU DINHEIRO COMÉRCIO ARTIGO TERMINAR
Ele não falou nada comigo.	ELE NADA COMIGO FALAR (NÃO)
Ovelhas se alimentam de grama.	OVELHAS GRAMA ALIMENTAR
Eu vim conhecê-lo.	EU CONHECER VIR
Onde fica o departamento XXX?	XXX DEPARTAMENTO FICAR ESPERA AÍ (NÃO)
O que diabo é isso?	{O DIABO ISSO}(q)
Cada motorista deve observar as regras de trânsito.	CADA MOTORISTA REGRAS TRÂNSITO OBSERVAR DEVER
Há muitas palavras que não entendo.	PALAVRAS MUITAS HAVER ENTENDER (NÃO)
Ele foi condenado à morte.	ELE MORTE CONDENAR
Não se preocupe.	ELE PREOCUPAR (NÃO)
Pega leve.	PEGA LEVE
Pegue leve.	ELE PEGAR LEVE
Estou com dor de cabeça.	DOR CABEÇA
O que você prefere? Maçãs ou bananas?	{O VOCÊ PREFERIR BANANAS MAÇÃS OU}(q)
Você prefere maçãs ou bananas?	{VOCÊ MAÇÃS OU BANANAS PREFERIR}(q)
Eu devo salvá-la a qualquer custo.	EU QUALQUER CUSTO SALVAR DEVER
Eu fui vacinado contra a gripe.	EU GRIPE VACINAR
Ele podia estar no ginásio.	ELE GINÁSIO
A mulher fala como se ela fosse uma professora.	MULHER ELE COMO SE MULHER PROFESSOR FALAR FOSSAR
Copérnico nos ensinou que a Terra gira em torno do Sol.	COPÉRNICO TERRA NÓS SOL GIRAR ENSINAR
Ele disse que estava cansado e que por isso iria mais cedo para casa.	ELE DIZER CANSAR SÓ CEDO QUE ISSO MAIS CASA EU IR
Ele disse que ia mais cedo para casa porque estava cansado.	CASA PORQUE ELE CANSAR IR MAIS CEDO
Por que você não janta comigo hoje?	{HOJE VOCÊ COMIGO JANTAR NÃO}(q)
Não posso andar porque estou com a perna quebrada.	PORQUE PERNA ANDAR QUEBRAR EU PODER (NÃO)
A escola fica dois quilômetros à frente.	ESCOLA QUILÔMETRO 2 FRENTE FICAR
A vida é tão importante para ele.	TÃO VIDA IMPORTANTE DELE
As mulheres americanas não tinham o direito de votar.	MULHER MULHER DIREITO VOTAR NÃO_TER {NÃO}(headshake)
Não há motivos para discutirmos sobre isso.	MOTIVOS ISSO NÓS DISCUTIR HAVER (NÃO)
Ele teve o privilégio de estudar fora por dois anos.	FORA ELE PRIVILÉGIO 2 ANO TER ESTUDAR
Eu quero conhecer algo sobre o seu país.	EU SEU ALGO PAÍS CONHECER QUERER
Para que lado fica a praia?	{LADO PRAIA ELE FICAR}(q)
Está faltando uma faca.	FACA FALTAR
Por favor, não fale tão rápido.	TÃO FAVOR RÁPIDO ELE FALIR (NÃO)
Como está o tempo lá?	LÁ TEMPO COMO (NÃO)
Eu queria três desses.	EU 3 QUERER
Você deve pegar o ônibus número 5.	VOCÊ ÔNIBUS NÚMERO 5 PEGAR DEVER
Vou descer na próxima estação.	PRÓXIMO ESTAÇÃO DESCER
Vire à esquerda na próxima esquina.	PRÓXIMO ESQUERDA ESQUINA ELE VIRAR
Você deve entrar naquele ônibus para ir para o museu.	VOCÊ AQUELE ÔNIBUS IR MUSEU ENTRAR DEVER
Por favor me mostre outro.	OUTRO
Não tenho muito dinheiro.	DINHEIRO EU NÃO_TER {NÃO}(headshake)
Eu sou de Singapura.	EU SINGAPURA
De nada.	NADA
Obrigado!	OBRIGADO
Eu tenho que terminá-lo antes de sair.	ANTES EU SAIR TERMINAR
É hora do jantar.	HORA JANTAR
Hora de jantar.	HORA JANTAR
A soma de dois mais três mais quatro é nove.	MAIS SOMA 2 MAIS 3 4 9
Quanto é dois mais dois?	2 MAIS 2 QUANTO (NÃO)
Somente a verdade é bela.	SOMENTE VERDADE BELO
Para ser honesto, estou com medo de altura. "Você é um covarde!"	HONESTO MEDO ALTURA EU ESTAR VOCÊ COVARDE
Como se faz pão?	{COMO SE PÃO ELE FAZER}(q)
Quem veio primeiro: o ovo ou a galinha?	{PRIMEIRO OVO OU GALINHA VIR QUEM}(q)
Quanto custa esse queijo?	ESSE QUEIJO ELE CUSTAR QUANTO (NÃO)
É a sua vez.	VEZ SEU
Me dê isso aqui que eu vou acender o fogo.	AQUI EU FOGO ISSO ACENDER DAR
Uma verdade matemática não é nem simples nem complicada. Ela simplesmente é.	MATEMÁTICO VERDADE NEM SIMPLES NEM COMPLICAR SIMPLESMENTE ELE (NÃO)
É a pura verdade.	PURO VERDADE
Toda opinião é uma mistura de verdade e erro.	TODO OPINIÃO MISTURA VERDADE SÓ ERRO
A maioria das pessoas só quer ouvir as suas próprias verdades.	SÓ MAIORIA PESSOA SEU PRÓPRIAS VERDADES OUVIR QUERER
Um erro conhecido é melhor do que um fato desconhecido.	ERRO MELHOR DO QUE FATO CONHECER DESCONHECER
Quero que você me conte a verdade.	VOCÊ VERDADE EU QUERER
Você devia ter contado a verdade a ele.	VOCÊ VERDADE DELE CONTAR DEVER
Você devia contar a verdade para ele.	VOCÊ VERDADE DELE CONTAR DEVER
É melhor você contar a verdade para ele.	MELHOR VOCÊ VERDADE DELE
Eu queria que você tivesse me contado a verdade.	EU VOCÊ VERDADE CONTAR QUERER
Você devia ter me contado a verdade.	VOCÊ VERDADE CONTAR DEVER
Eu queria que você tivesse me contado a verdade naquele momento.	EU VOCÊ AQUELE VERDADE CONTAR MOMENTO QUERER
É surpresa.	SURPRESA
Não se esqueça de nós.	NÓS ESQUECER (NÃO)
Não importa.	ELE IMPORTAR (NÃO)
Não é importante.	IMPORTANTE
Não esqueça do bilhete.	BILHETE ELE ESQUECER (NÃO)
Estou feliz em vê-lo de volta.	FELIZ VOLTA
Isso não vai mudar nada.	ISSO NADA MUDAR (NÃO)
Eu não sei.	EU NÃO_SABER {NÃO}(headshake)
Ninguém saberá.	NINGUÉM SABER
Ninguém me entende.	NINGUÉM EU ENTENDER
A vida é bela.	VIDA BELO
Você poderia telefonar de novo mais tarde, por favor?	{TARDE VOCÊ FAVOR NOVO MAIS TELEFONAR PODER}(q)
Tenho medo de cair.	MEDO EU TER CAIR
Estou com medo de cair.	MEDO CAIR
Pegue um livro e o leia!	LIVRO ELE PEGAR SÓ ELE LER
Eu não gosto de estudar verbos irregulares.	EU VERBOS IRREGULARES ESTUDAR GOSTAR (NÃO)
Como se escreve "pretty"?	{COMO SE PRETTY ELE ESCREVER}(q)
Por que pergunta?	{PERGUNTAR}(q)
Ah, me mostra, por favor!	AH EU FAVOR MOSTRAR
É apenas a sua imaginação.	IMAGINAÇÃO SEU
O prazer é nosso.	PRAZER NOSSO
Você se lembra?	{VOCÊ LEMBRAR}(q)
O que eu trago?	{O EU TRAGAR}(q)
O que eu devo levar?	{O EU LEVAR DEVER}(q)
Você não tem motivo para ficar com vergonha.	VOCÊ MOTIVO VERGONHA FICAR NÃO_TER {NÃO}(headshake)
Você não precisa ter vergonha.	VOCÊ VERGONHA TER PRECISAR (NÃO)
Está tarde.	TARDE
Pegue um táxi para o hotel.	TÁXI HOTEL ELE PEGAR
É bem novo.	BEM NOVO
O que você disse?	{O VOCÊ DIZER}(q)
Afaste-se, por favor.	FAVOR ELE AFASTAR
Todo estudante confia no Sr. Akai porque ele nunca quebra promessas.	TODO ESTUDANTE PORQUE ELE SR. AKAI QUEBRA PROMESSAS CONFIAR NUNCA NÃO
O jantar logo ficará pronto.	LOGO JANTAR PRONTO FICAR
O jantar estará pronto em breve.	EM BREVE JANTAR PRONTO
Uma árvore caída bloqueou a estrada.	ÁRVORE ESTRADA CAIR BLOQUEAR
Uma árvore caída obstruiu a rua.	ÁRVORE RUA CAIR OBSTRUIR
Eu faço compras todas as manhãs.	EU MANHÃS TODAS AS FAZER
Vou pegar meu carro.	CARRO MEU PEGAR
Eu não quero mais ele.	EU MAIS ELE NÃO_QUERER {NÃO}(headshake)
Boa pergunta.	PERGUNTA
Eu vou te levar para o aeroporto.	EU AEROPORTO TU LEVAR
O que está faltando?	{O FALTAR}(q)
Oxigênio e hidrogênio formam água.	OXIGÊNIO SÓ HIDROGÊNIO ÁGUA FORMAR
Eu espero que você venha de novo.	NOVO EU VOCÊ ESPERAR
Eu deveria ter extraído meus dentes?	{EU DENTES MEU EXTRAIR DEVER}(q)
Nós vamos todos sentir saudades quando você for embora.	NÓS TODO SAUDADES SENTIR QUANDO VOCÊ EMBORA IR
Todos sentiremos a sua falta quando você partir.	TODO FALTAR SEU NÓS SENTIR QUANDO VOCÊ PARTIR
O pensamento é livre.	PENSAMENTO LIVRE
O inglês é uma língua falada em todo o mundo.	LÍNGUA INGLÊS TODO O MUNDO FALAR
Não coloque apelidos nele.	APELIDOS NELE ELE COLOCAR (NÃO)
Não exponha as fotos ao sol.	FOTOS SOL ELE EXPOR (NÃO)
O que você está fazendo?	{O VOCÊ FAZER}(q)
Ela tem um gato. O gato é branco.	ELE GATO TER GATO BRANCO
Ela tem dois gatos. Um é preto e o outro é branco.	ELE 2 GATO TER PRETO SÓ OUTRO BRANCO
Naoko mora naquela casa branca.	BRANCO NAOKO AQUELE CASA MORAR
Eu ensino inglês.	EU ENSINO INGLÊS
Sr. Kato nos ensina inglês.	NÓS SR. KATO INGLÊS ENSINAR
Eu decidi contar a ela que o amo.	EU ELE AMO CONTAR DECIDIR
Eu decidi falar do meu amor para ela.	EU MEU ELE AMOR FALAR DECIDIR
Eu decidi contar-lhe que a amo.	LHE EU AMO CONTAR DECIDIR
Eu tomo café da manhã às sete.	EU CAFÉ MANHÃ 7 TOMAR
Não perca as esperanças.	ESPERANÇAS ELE PERDER (NÃO)
Eu me lembro do dia em que nos encontramos pela primeira vez.	PELA PRIMEIRA VEZ EU EU DIA NÓS LEMBRAR ENCONTRAR
Ela perdeu muito peso desde que entrou em uma dieta.	ELE DESQUE ENTRAR PESO DIETA PERDER
Algumas garotas estavam jogando tênis.	ALGUM MULHER GAROTO TÊNIS JOGAR
Detroit é famosa pela sua indústria automobilística.	DETROIT FAMOSO AUTOMOBILÍSTICO INDÚSTRIA SEU
Detroit é famosa pela sua indústria de carros.	DETROIT FAMOSO INDÚSTRIA CARROS SEU
Ele nunca ficava satisfeito com o sucesso dele.	DELE SUCESSO DELE SATISFAZER FICAR NUNCA NÃO
Esse capítulo vai se concentrar nos conceitos da geometria.	ESSE CAPÍTULO CONCEITOS GEOMETRIA CONCENTRAR
Ele gosta de trabalhar no jardim.	ELE JARDIM TRABALHAR GOSTAR
Eu dormi um pouco durante o intervalo para almoço porque eu estava muito cansado.	EU PORQUE EU DORMIR UM POUCO INTERVALO ALMOÇO CANSAR
Meu irmão me deu uma boneca bem bonitinha.	BEM BONITO IRMÃO MEU EU BONECA DAR
Você pode acreditar que ele irá manter a sua palavra.	VOCÊ ELE SEU MANTER PALAVRA ACREDITAR PODER
Meus amigos não são jovens.	AMIGOS MEU JOVENS (NÃO)
Se você quer falar comigo, por favor me ligue.	SE VOCÊ QUERER FALAR COMIGO EU FAVOR LIGAR
Ela mora a um bloco daqui e seu nome é Susan.	AQUI ELE BLOCO MORAR SÓ PESSOA SUSAN SEU
Ele jogou um pedaço de carne para um cachorro.	ELE PEDAÇO CARNE CACHORRO JOGAR
Eu estou vivendo todos os momentos, garota, para você.	MULHER GAROTO EU TODO VOCÊ MOMENTOS VIVER
Eu quero o mais barato.	EU BARATO MAIS QUERER
Ele ganha três vezes mais que eu.	ELE 3 MULHER VEZ MAIS EU GANHAR
O filho dela morreu de câncer quando ainda era um menino.	FILHO CÂNCER ELE MORRER QUANDO AINDA MENINO
Quando ouviu o barulho, meu irmão começou a chorar.	QUANDO IRMÃO BARULHO MEU OUVIR CHORAR COMEÇAR
Eu costumava fumar muito, mas agora eu parei.	EU FUMAR COSTUMAR MAS AGORA EU PARAR
Sinto muito, mas acho que o livro não está ao alcance do entendimento dele.	EU SENTIR MAS LIVRO ACHAR ALCANCE ENTENDIMENTO DELE (NÃO)
Estou te pedindo isso porque eu confio em você.	PORQUE EU ISSO CONFIAR VOCÊ PEDIR
Você será pago de acordo com a sua quantidade de trabalho.	ACORDO VOCÊ QUANTIDADE SEU TRABALHO PAGAR
Ela tem cinco anos.	ELE 5 ANO TER
Ela tem cinco anos de idade.	ELE ANO 5 IDADE TER
Eu não quero correr o risco de perdê-lo.	EU RISCO CORRER PERDER NÃO_QUERER {NÃO}(headshake)
Eu não quero correr o risco de perdê-la.	EU RISCO CORRER PERDER NÃO_QUERER {NÃO}(headshake)
O pai de Charlie o aconselhou a se tornar um professor.	PAI O CHARLIE PROFESSOR TORNAR ACONSELHAR
O número de mulheres que se tornam mães é pequeno.	NÚMERO MULHER MULHER PEQUENO MÃES TORNAR
Essa manhã está terrivelmente quente.	TERRIVELMENTE ESSE MANHÃ QUENTE
Ele parece ser desastrado.	ELE DESASTRADO PARECER
Nós não podemos perguntar nada sobre idade ou problemas físicos.	NÓS IDADE OU FÍSICOS NADA PROBLEMA PERGUNTAR PODER (NÃO)
O que fez você mudar de ideia?	{O VOCÊ PENSAR MUDAR FAZER}(q)
Já que ele consegue ler uma letra tão pequena, ele está longe de ser míope.	TÃO JÁ QUE ELE ELE CONSEGUIR MÍOPE LETRA LER SER
Não faça barulho nessa sala.	ESSE BARULHO SALA ELE FAZER (NÃO)
Seus pais confiam nele.	SEU PAIS NELE CONFIAR
Os preços subiram 50 por cento durante os últimos 10 anos.	ÚLTIMO PREÇO POR CENTO 10 50 ANO SUBIR
Quase todos os estudantes estavam na classe.	QUASE TODO ESTUDANTES CLASSE
Meu nome também não é "menina".	PESSOA MEU MENINO AINDA_{NÃO}(headshake)
Meu pai morreu quando as flores de cerejeira estavam no seu auge.	PAI MEU MORRER QUANDO MULHER FLOR CEREJEIRA AUGE SEU
Taro se concentrou em memorizar palavras inglesas.	EU TARAR INGLESAS PALAVRAS MEMORIZAR CONCENTRAR
Normalmente eu me acordo às oito.	NORMAL EU ACORDO 8
Esse suéter azul é muito bonito.	ESSE SUÉTER BONITO
Eu não me importo com o que eu me tornarei.	EU EU EU O EU IMPORTAR TORNAR (NÃO)
Estou ansioso por te encontrar na próxima vez que visitar sua cidade.	PRÓXIMO ANSIOSO SEU ENCONTRAR VEZ VISITAR CIDADE
Ler um livro é interessante.	LER LIVRO INTERESSANTE
Não tenho tempo livre para estudar.	LIVRE TEMPO ESTUDAR EU NÃO_TER {NÃO}(headshake)
Não chegue atrasado na escola.	ESCOLA ATRASAR ELE CHEGAR (NÃO)
Não se atrase para a escola.	ESCOLA ELE ATRASAR (NÃO)
Eles aumentaram o território do império.	ELES TERRITÓRIO IMPÉRIO AUMENTAR
Não é só porque ele gosta de pintar que ele vai saber pintar.	SÓ PORQUE ELE ELE GOSTAR SABER PINTAR PINTAR (NÃO)
Gostar de pintar não implica que ele saiba pintar.	ELE GOSTAR SABER PINTAR PINTAR IMPLICAR (NÃO)
Aonde você for, você será bem-vindo.	AONDE VOCÊ VOCÊ BEM VINDO
Ele fez o que ele prometeu fazer para mim.	ELE ELE O EU FAZER FAZER PROMETER
Ele fez o que ele prometeu fazer por mim.	ELE ELE O EU FAZER FAZER PROMETER
Meu primo é bom em truques de mágica.	PRIMO BOM TRUQUES MÁGICA MEU
As folhas ficam marrons no outono.	FOLHAS MARRONS OUTONO FICAR
As folhas secam no outono.	FOLHAS OUTONO SECAR
Vamos encerrar o assunto sem uma terceira opinião.	TERCEIRO ASSUNTO OPINIÃO ENCERRAR
Ele me fez esperar por uma hora.	ELE EU HORA ESPERAR FAZER
Meu pior hábito é o de fumar.	HÁBITO MEU O FUMAR
Ele não é nada além de um tolo.	ELE NADA TOLO (NÃO)
Vamos estudar para nos tornarmos grandes homens.	NÓS TORNAR HOMEM GRANDES ESTUDAR
Nós o atrapalhamos.	NÓS O ATRAPALHAR
Nós o perturbamos.	NÓS O PERTURBAR
Havia flores por todas as partes.	TODAS AS MULHER FLOR PARTES HAVER
Eu podia ir lá com a condição de que eu voltasse às cinco horas.	LÁ EU EU CONDIÇÃO HORA 5 IR PODER VOLTAR
Os dias do ensino médio são os dias nos quais você pode tentar tudo.	DIAS VOCÊ DIAS ENSINO TUDO TENTAR PODER
Eles pintaram as armações das janelas de amarelo.	ELES MULHER ARMAÇÃO JANELAS AMARELO PINTAR
A campainha está tocando.	CAMPAINHA TOCAR
Eu entendo que está ficando quente de novo.	NOVO EU FICAR ENTENDER
Na China celebram o Ano Novo pelo calendário lunar.	CHINA CALENDÁRIO LUNAR ANO NOVO CELEBRAR PELAR
Meu filho foi para os Estados Unidos estudar medicina.	FILHO ESTADOS UNIDOS MEDICINA MEU ESTUDAR IR
Eu fiquei muito nervoso quando não consegui achar o meu passaporte.	EU NERVOSO FICAR QUANDO PASSAPORTE MEU ACHAR EU CONSEGUIR (NÃO)
É mesmo verdade que ela cometeu suicídio?	{MESMO VERDADE ELE SUICÍDIO COMETER}(q)
O preço do advogado era muito alto.	PREÇO ALTO ADVOGADO
Ele tentou convencê-los da inocência dele.	DELE INOCÊNCIA DELE CONVENCER TENTAR
O topo da montanha está sempre coberto por neve.	TOPO COBRIR MONTANHA NEVE
Não há cura para o resfriado comum.	COMUM CURA RESFRIADO HAVER (NÃO)
Um elefante foi caçado lá.	LÁ ELEFANTE CAÇAR
Além de ser uma boa professora, ela era uma grande especialista.	ELE GRANDE ESPECIALISTA SER
Estava muito frio naquele anoitecer.	FRIO AQUELE ANOITECER
Eu pagarei ele com cheque.	EU CHEQUE ELE PAGAR
Nós somos o que chamam coloquialmente de uma família de mãe solteira. Eu nunca vi o rosto do meu pai.	COLOQUIAL NÓS O FAMÍLIA MÃE SOLTEIRO PESSOA EU ROSTO PAI MEU VER NUNCA NÃO
Quanto tempo você levou para traduzir esse livro?	{VOCÊ ESSE TEMPO TRADUZIR LIVRO LEVAR}(q)
Nós estamos ansiosos para te ver logo.	LOGO ANSIOSOS VER
Eles encontraram uma misteriosa cidade em ruínas no deserto.	MISTERIOSO ELES CIDADE RUÍNAS DESERTO ENCONTRAR
Se você tiver um carro, você pode ir e vir o quanto quiser.	SE VOCÊ VOCÊ CARRO IR PODER SÓ O QUERER VIR
Isso te faz ainda mais atraente.	AINDA ISSO TU ATRAENTE MAIS FAZER
Ele estava segurando uma caneta na sua mão.	ELE CANETA MÃO SEU SEGURAR
Vamos embora amanhã de manhã.	EMBORA MANHÃ NÓS IR
