Vamos tentar alguma coisa!	ALGUM COISA TENTAR
Você seria um bom diplomata.	VOCÊ BOM DIPLOMATA
Ele acordou mais cedo do que de costume.	CEDO ELE DO QUE MAIS COSTUME ACORDAR
Ele levantou mais cedo que o normal.	CEDO ELE MAIS NORMAL LEVANTAR
Eu levaria tempo demais para lhe explicar porque não vai funcionar.	DEMAIS PORQUE EU TEMPO LHE FUNCIONAR LEVAR EXPLICAR (NÃO)
Eu estava planejando ir à praia hoje, mas então começou a chover.	HOJE EU PRAIA IR PLANEJANDO MAS ENTÃO CHOVER COMEÇAR
Ele pode fazer isso bem melhor do que eu.	BEM ELE ISSO MELHOR DO QUE EU FAZER PODER
Ninguém pode me parar!	NINGUÉM EU PARAR PODER
Ninguém me segura!	NINGUÉM EU SEGURAR
Ela leu um livro de receitas ontem à noite.	ONTEM LIVRO RECEITAS NOITE ELE LER
Ele pode até ter discutido com a esposa, mas ele não pode ter batido nela.	ELE MULHER ESPOSO DISCUTIR PODER MAS ELE ELE BATER PODER (NÃO)
Todos os membros do gabinete estavam presentes.	GABINETE TODO MEMBROS PRESENTES
Eu não consegui não rir do corte de cabelo dele.	EU CORTE CABELO DELE DELE RIR NÃO CONSEGUIR (NÃO)
Não consigo tirá-la da cabeça.	CABEÇA TIRAR EU CONSEGUIR (NÃO)
Meu pai estava ocupado.	PAI MEU OCUPAR
Ele se escondeu atrás da porta.	ATRÁS ELE PORTA ESCONDER
Nós podíamos ver o reflexo das montanhas no lago.	NÓS REFLEXO MONTANHAS LAGO VER PODER
O que você quer dizer?	{QUER DIZER VOCÊ O}(q)
Não está claro se Lander quis alterar o estilo de Emmet desde o começo.	DT(L-A-N-D-E-R) SE CLARO ESTILO QUERER DT(E-M-M-E-T) COMEÇO ALTERAR (NÃO)
Eu espero que a gente consiga manter contato.	EU GENTE CONSEGUIR CONTATO MANTER ESPERAR
Eu espero que nós consigamos manter contato.	EU NÓS CONSEGUIR CONTATO MANTER ESPERAR
Eu gostaria de melhorar minha pronúncia de inglês.	EU PRONÚNCIA INGLÊS MEU MELHORAR GOSTAR
Meu pai foi da marinha.	PAI MARINHA MEU IR
Ele mal pode escrever seu nome.	MAL ELE NOME SEU ESCREVER PODER
O que você está aprendendo na escola?	{O VOCÊ ESCOLA APRENDER}(q)
Leitura extensiva é tão importante quanto leitura intensiva.	LEITURA IMPORTANTE INTENSIVO LEITURA
Eu não posso responder tantas perguntas de uma só vez.	EU TANTO SÓ VEZ PERGUNTAS RESPONDER PODER (NÃO)
Sally encontrou Harry na estação.	DT(S-A-L-L-Y) DT(H-A-R-R-Y) ESTAÇÃO ENCONTRAR
Sally se encontrou com Harry na estação.	DT(S-A-L-L-Y) DT(H-A-R-R-Y) ESTAÇÃO ENCONTRAR
Por favor me dê um pedaço de pão.	PEDAÇO EU PÃO DAR
Ela toca piano?	{PIANO ELE TOCAR}(q)
O garoto desmontou o rádio.	GAROTO RÁDIO DESMONTAR
Eu estou indo ver um filme de terror.	EU FILME TERROR VER IR
Eu verei um filme de terror.	EU FILME TERROR VER
Ele começou a falar inglês.	ELE INGLÊS FALAR COMEÇAR
Eles têm sido bons vizinhos até hoje.	HOJE ELES BOM VIZINHOS
Meninos têm suas próprias bicicletas nos tempos de hoje.	HOJE PRÓPRIAS MENINOS BICICLETAS TEMPOS SEU TER
Ele é sempre gentil com os animais.	SEMPRE ELE GENTIL ANIMAL
As luzes se apagaram nesse instante.	MULHER LUZ ESSE INSTANTE APAGAR
As luzes se apagaram agorinha.	MULHER LUZ AGORINHA APAGAR
Se você tiver muito dinheiro, você ficará com medo.	SE VOCÊ VOCÊ TER DINHEIRO MEDO FICAR
Nós tínhamos seis convidados para o jantar.	NÓS CONVIDADO 6 JANTAR TER
Você gosta mais da nova escola?	{NOVO VOCÊ ESCOLA MAIS GOSTAR}(q)
Kate está com um resfriado.	DT(K-A-T-E) RESFRIADO
Kate está resfriada.	DT(K-A-T-E) RESFRIAR
Eles não tratam de assuntos políticos.	POLÍTICO ELES ASSUNTOS TRATAR (NÃO)
Ele parece ter sido um grande esportista.	ELE PARECER ESPORTISTA GRANDE
Algum conhecimento de línguas estrangeiras, de espanhol em particular, é essencial.	CONHECIMENTO ALGUM ESPANHOL LÍNGUAS PARTICULAR ESSENCIAL
Você tem planos?	{VOCÊ PLANOS TER}(q)
Um experimento, eu aprenderia muito mais tarde, quando estudava a filosofia da ciência, tinha que surgir de uma real insatisfação com o conhecimento atual.	TARDE EXPERIMENTO EU MAIS APRENDER QUANDO FILOSOFIA REAL CIÊNCIA CONHECIMENTO ATUAL INSATISFAÇÃO ESTUDAR
Ele pulou da janela.	ELE JANELA PULAR
Eu entrei nessa escola dois anos atrás.	ATRÁS EU ESSE 2 ESCOLA ANO ENTRAR
Regue as flores antes de você tomar café da manhã.	ANTES VOCÊ MULHER FLOR CAFÉ MANHÃ TOMAR REGAR
Atualmente todos estão felizes.	ATUAL TODO FELIZES
Nós fizemos fila para entrar no ônibus.	NÓS FILA ENTRAR ÔNIBUS FAZER
Ele não trabalha mais aqui.	AQUI ELE MAIS TRABALHAR (NÃO)
É falta de educação falar com a sua boca cheia.	CHEIO EDUCAÇÃO SEU FALAR BOCA
Vamos terminar isso agora.	AGORA ISSO TERMINAR
Meu irmão pequeno tem doze anos.	PEQUENO IRMÃO MEU 12 ANO TER
"Posso usar o seu lápis?" "Claro, vá em frente."	LÁPIS SEU USAR EU PODER CLARO FRENTE EU IR
Um mal trabalhador reclama de suas ferramentas.	MAL TRABALHADOR FERRAMENTAS SEU ELE RECLAMAR
Eu ainda não o conheço.	EU O CONHECER AINDA_{NÃO}(headshake)
Eu não o encontrei.	EU O ENCONTRAR (NÃO)
A grama está com uma boa aparência.	GRAMA BOM APARÊNCIA
Você gosta de maçãs ou de laranjas?	{VOCÊ MAÇÃS OU LARANJAS GOSTAR}(q)
Porém, eu não tenho nem dinheiro e nem amigos.	PORÉM EU NEM DINHEIRO NEM AMIGO TER (NÃO)
Eu preciso de uma mala. Você me empresta uma?	{EU PRECISO MALA VOCÊ EU EMPRESTAR}(q)
Eu achei a figura interessante.	INTERESSANTE EU FIGURA ACHAR
Nós queremos ser internacionais.	NÓS INTERNACIONAIS QUERER
Esse tipo de vestido agora está na moda.	AGORA TIPO ESSE VESTIDO MODA
Ele perguntou se eu gostava de comida chinesa.	ELE SE EU GOSTAR CHINÊS COMIDA PERGUNTAR
Eu não li o romance dele e meu irmão também não.	EU MEU ROMANCE IRMÃO DELE AINDA_NÃO LER {NÃO}(headshake)
Eu já estive em Sapporo.	JÁ EU SAPPORO
Eu insisto que você esteja presente.	EU VOCÊ PRESENTE INSISTIR
Eu vejo algumas pessoas andando pela rua.	EU ALGUM PESSOA RUA VER ANDAR
Eu tenho certeza de que ela não virá te ver.	EU CERTEZA TU TER VER VIR (NÃO)
Paul foi para a festa no lugar do seu pai.	DT(P-A-U-L) LUGAR FESTA PAI SEU IR
Ele não está muito melhor e não há muita esperança de recuperação.	ELE MELHOR ESPERANÇA RECUPERAÇÃO MUITA HAVER (NÃO)
Você conhece a cidade em que ele vive?	{VOCÊ ELE CIDADE CONHECER VIVER}(q)
Oh, eu não sei se concordo com você.	OH EU CONCORDAR VOCÊ NÃO_SABER {NÃO}(headshake)
Agora eu coloco essa carta no chapéu. Viu?	{AGORA EU ESSE CARTA CHAPÉU COLOCAR ELE VER}(q)
Você tem um cardápio especial para vegetarianos?	{ESPECIAL VOCÊ VEGETARIANOS CARDÁPIO TER}(q)
O orador deveria ficar num lugar onde todos pudessem vê-lo.	ONDE ORADOR TODO LUGAR VER FICAR DEVER VER PODER
Ele se tornou um belo rapaz.	RAPAZ ELE BELO TORNAR
Ele é desajeitado em seus movimentos.	ELE MOVIMENTOS SEU DESAJEITAR
Ele anunciou o próximo cantor.	PRÓXIMO ELE CANTOR ANUNCIAR
Ele anunciou a próxima cantora.	PRÓXIMO ELE MULHER CANTOR ANUNCIAR
Habilidades linguísticas são natas, não adquiridas.	HABILIDADES NATAS ADQUIRIR (NÃO)
Eu imaginei se eu conseguiria fazer tal coisa.	EU SE EU TAL CONSEGUIR COISA FAZER IMAGINAR
Aqui estão 5 dólares.	AQUI DÓLAR 5
O que é aquilo?	{O AQUILO}(q)
Informado sobre a segurança deles, o primeiro ministro deu um suspiro de alívio.	PRIMEIRO MINISTRO INFORMAR ELES SEGURANÇA SUSPIRO ALÍVIO DAR
Ela abriu e deixou a porta aberta.	ELE ABRIR ABERTO PORTA ELE DEIXAR
O médico me proibiu de participar da maratona.	MÉDICO EU MARATONA PARTICIPAR PROIBIR
Você tem um endereço?	{VOCÊ ENDEREÇO TER}(q)
Eu gostaria de viajar sozinho.	EU SÓ VIAJAR GOSTAR
Eu queria viajar só.	SÓ EU VIAJAR QUERER
Ela me pediu para encontrá-la na estação.	EU ENCONTRAR ESTAÇÃO PEDIR
As nuvens estão se separando.	MULHER NUVEM SEPARAR
Você está dando muito duro. Pegue leve por um tempo.	VOCÊ DURO DAR ELE PEGAR LEVE TEMPO
Levando só a gramática em conta, sua composição está correta.	SÓ COMPOSIÇÃO GRAMÁTICA SEU LEVAR CONTA CORRETAR
Tal comportamento pode causar um acidente.	COMPORTAMENTO TAL ACIDENTE CAUSAR PODER
Eu gosto dessa casa porque ela é bem confortável.	BEM EU PORQUE CONFORTÁVEL CASA
Eu tinha minhas dúvidas, mas essa última conversa removeu todas.	EU DÚVIDAS MEU TER MAS ÚLTIMO CONVERSA ESSE TODAS REMOVER
Esse livro é fácil de ler para mim.	ESSE FÁCIL EU LER
Ele viveu uma vida infeliz.	INFELIZ ELE VIDA VIVER
Eu gostaria de ser milionário.	EU MILIONÁRIO GOSTAR
Eu vi uma mulher que eu pensava ser a mãe de Mary.	EU EU VER MULHER MÃE DT(M-A-R-Y) PENSAR
Todo hospital tem um gerador elétrico de segurança para o caso de faltar energia.	TODO HOSPITAL SEGURANÇA GERADOR CASO ENERGIA TER FALTAR
O carro bateu no caminhão.	CARRO CAMINHÃO BATER
Não interfira em assuntos que não tem a ver com você!	ASSUNTOS VOCÊ VER NÃO_TER INTERFERIR {NÃO}(headshake)
A criança quase se afogou.	QUASE CRIANÇA AFOGAR
Parece que ele nunca sente frio.	ELE FRIO SENTIR PARECER NUNCA NÃO
Onde está o meu livro?	LIVRO MEU ONDE (NÃO)
Permita-me apresentar Mayuko para você.	EU DT(M-A-Y-U-K-O) VOCÊ APRESENTAR PERMITIR
Você estava gritando com ela e eu não gosto disso.	VOCÊ GRITAR EU ISSO GOSTAR (NÃO)
Dr. Smith tem muitos pacientes.	DR. DT(S-M-I-T-H) PACIENTES MUITOS TER
Nem todos nós falamos inglês.	NEM TODO NÓS INGLÊS FALAR
Ela o fará em 24 horas.	O 24 HORA FAZER
Os sapatos são do mesmo tamanho.	MESMO SAPATOS TAMANHO
Eu estou planejando visitar seu país nesse inverno.	ESSE EU PAÍS INVERNO SEU VISITAR PLANEJANDO
Eu perdi meu relógio e então tenho que comprar outro.	EU RELÓGIO MEU PERDER ENTÃO OUTRO COMPRAR
Eu aprendi a cozinhar sob a tutela da minha irmã.	EU TUTELA MULHER IRMÃO MEU COZINHAR APRENDER
John é louco por música pop.	DT(J-O-H-N) LOUCO MÚSICA POP
Dizem que um novo restaurante foi construído.	RESTAURANTE CONSTRUIR DIZER
Ele me disse para ser gentil com os outros.	ELE EU DIZER GENTIL OUTROS
Ele parece ter ficado doente por um bom tempo.	ELE DOENTE TEMPO BOM FICAR PARECER
Você deve vir mais cedo para que ele leia seu manuscrito antes do seu discurso.	CEDO MAIS SEU VOCÊ ELE SEU LER MANUSCRITO ANTES DISCURSO VIR DEVER
Quando um sólido derrete, ele torna-se líquido.	QUANDO SÓLIDO DERRETE ELE LÍQUIDO TORNAR
Eu não sei qual é a origem do rumor.	EU ORIGEM QUAL RUMOR NÃO_SABER {NÃO}(headshake)
Mesmo seus defeitos não diminuem o meu respeito por você. E na amizade é isso que conta.	MESMO SEU DEFEITOS RESPEITO MEU VOCÊ DIMINUIR NÃO ISSO AMIZADE CONTAR (NÃO)
É totalmente proibido fumar aqui.	TOTAL AQUI FUMAR
Fumar aqui é estritamente proibido.	AQUI ESTRITO FUMAR PROIBIR
Você deve dar o livro para quem quiser ele.	VOCÊ LIVRO QUERER ELE DAR DEVER
Ando refletindo no que você me disse.	VOCÊ EU REFLETINDO ANDAR DIZER
Não encurte a manhã por acordar tarde.	MANHÃ TARDE ACORDAR ENCURTAR (NÃO)
Eu posso ter cometido um erro.	EU ERRO COMETER PODER
Talvez eu tenha cometido um erro.	TALVEZ EU ERRO COMETER
Este é o povoado onde eu nasci.	ONDE ESTE POVOADO EU NASCER
Ele não deve vir aqui novamente.	AQUI ELE NOVAMENTE VIR DEVER (NÃO)
Ele não deve vir aqui de novo.	AQUI ELE NOVO VIR DEVER (NÃO)
Ele devia ter comprado alguns lápis.	ELE ALGUM LÁPIS COMPRAR DEVER
Ele é o Bach dos tempos atuais.	ELE BACH TEMPOS ATUAIS
Acredita-se que esse foi o lugar onde ele morreu.	ONDE ESSE ELE ACREDITAR LUGAR IR MORRER
Cachorros nadam.	CACHORROS NADAR
Cachorros sabem nadar.	CACHORROS NADAR SABER
Eles estão querendo nos ajudar.	ELES AJUDAR QUERER
O professor mal tinha entrado na sala quando paramos de conversar.	MAL PROFESSOR SALA ENTRAR QUANDO CONVERSAR NÓS PARAR
Sua vida era cheia de altos e baixos.	SEU VIDA CHEIO ALTOS BAIXOS
Eu escuto rádio toda noite.	EU TODO RÁDIO NOITE ESCUTAR
Eu perdi o livro que você me emprestou.	EU VOCÊ LIVRO EU PERDER EMPRESTAR
Ele correu para dentro da sala de aula.	DENTRO ELE SALA CORRER
Essa fita não cola.	FITA ESSE COLAR (NÃO)
A causa da morte dele ainda continua um mistério.	AINDA CAUSA MORTE DELE MISTÉRIO CONTINUAR
É muito caro.	CARO
É caro demais.	DEMAIS CARO
As mulheres são fisicamente mais fracas do que os homens.	FISICAMENTE MULHER MULHER HOMEM FRACAS DO QUE
Essa camisa é muito pequena para eu vestir.	CAMISA PEQUENO EU ESSE VESTIR
Esta camisa é muito curta para mim.	CAMISA ESTE CURTO EU
Os computadores nos salvam de perdas de tempo e de problemas.	NÓS COMPUTADORES PERDAS TEMPO PROBLEMA SALVAR
Se estiver chovendo amanhã, o jogo será adiado.	AMANHÃ SE JOGO CHOVER ADIAR
John é meu irmão mais novo.	DT(J-O-H-N) NOVO IRMÃO MEU MAIS
Helen e Kathy alugaram um apartamento num subúrbio de Tóquio.	DT(H-E-L-E-N) DT(K-A-T-H-Y) APARTAMENTO SUBÚRBIO TÓQUIO ALUGAR
É proibido conversar na biblioteca.	CONVERSAR BIBLIOTECA PROIBIR
Não é permitido conversar na biblioteca.	CONVERSAR BIBLIOTECA PERMITIR (NÃO)
Se você puder venha conosco.	SE VOCÊ VIR CONOSCO VIR PODER
Venha com a gente se você puder.	VOCÊ GENTE PODER VIR
Eu sou uma parte importante.	EU IMPORTANTE PARTE
As garotas dançaram no ginásio.	MULHER GAROTO GINÁSIO DANÇAR
Nós queremos deixar uma Terra limpa e verde para os nossos descendentes.	NÓS TERRA LIMPO DESCENDENTES VERDE NOSSO DEIXAR QUERER
Eu quero contatá-lo. Você tem o número de telefone dele?	{EU CONTATÁ LO QUERER VOCÊ TELEFONE NÚMERO DELE TER}(q)
O grande herói romano, Júlio César, foi assassinado.	GRANDE ROMANO DT(J-Ú-L-I-O) DT(C-É-S-A-R) HERÓI ASSASSINAR
Eu confio em Richard; ele é um homem de palavra.	EU ELE CONFIAR HOMEM DT(R-I-C-H-A-R-D) PALAVRA
Aquele marrom também é meu.	TAMBÉM MARROM AQUELE MEU
Os ingleses amam o unicórnio tanto quanto amam o leão.	QUANTO INGLESES UNICÓRNIO LEÃO TANTO AMAR
Quem vem comigo?	COMIGO VIR QUEM (NÃO)
Só assine aqui.	SÓ AQUI ELE ASSINAR
Você pode me mostrar seu cartão de embarque?	{EU VOCÊ CARTÃO EMBARQUE SEU MOSTRAR PODER}(q)
Os dois clubes se juntaram para formar um só.	SÓ CLUBE FORMAR JUNTAR
Todos os seres humanos nascem livres e iguais em dignidade e direitos. Eles são dotados de razão e consciência e devem agir com os outros com um espírito de fraternidade.	TODO SERES_HUMANOS IGUAIS LIVRES DIGNIDADE DIREITOS NASCER ELES RAZÃO DOTAR CONSCIÊNCIA ESPÍRITO FRATERNIDADE OUTROS AGIR ELES DEVER
Não esqueça de postar a carta.	CARTA POSTAR ELE ESQUECER (NÃO)
Voltei. Oh, temos visita?	{EU VOLTAR OH VISITA NÓS TER}(q)
Quando ela nasceu?	ELE NASCER QUANDO (NÃO)
Ela nasceu quando?	ELE NASCER QUANDO (NÃO)
Eu já te disse que ela não está aqui.	JÁ EU TU DIZER AQUI (NÃO)
Eu já disse a você que ele não está aqui.	JÁ ELE EU DIZER VOCÊ AQUI (NÃO)
Devemos ir ao cinema?	{CINEMA IR NÓS DEVER}(q)
Eu ainda não escrevo bem em chinês.	BEM EU CHINÊS ESCREVER AINDA_{NÃO}(headshake)
Me ajudou muito.	EU AJUDAR
Ajudou muito.	ELE AJUDAR
É a terceira maior cidade da Sérvia.	CIDADE TERCEIRO MAIOR SÉRVIA
Cuide da sua alimentação.	ALIMENTAÇÃO SEU ELE CUIDAR
Estenda a massa formando um retângulo.	MASSA FORMAR RETÂNGULO ELE ESTENDER
Retire as laranjas do frigorífico.	LARANJAS FRIGORÍFICO ELE RETIRAR
Misture ao arroz os ovos e o molho de soja.	ARROZ OVOS MOLHO SOJA ELE MISTURAR
Junte a cebola.	CEBOLA ELE JUNTAR
Adicione a carne.	CARNE ELE ADICIONAR
Qual é a sobremesa?	SOBREMESA QUAL (NÃO)
Onde nos encontramos?	NÓS ENCONTRAR ONDE (NÃO)
Eu perdi minha chave.	EU CHAVE MEU PERDER
Que horas sai o próximo trem?	{PRÓXIMO HORAS TREM SAIR}(q)
A paz esteja contigo!	PAZ CONTIGO
51,8% dos habitantes são do sexo feminino.	HABITANTE 51,8 FEMININO SEXO
A sua empresa abriu em 2005.	EMPRESA SEU 2005 ABRIR
Trabalha como tradutor.	COMO TRADUTOR ELE TRABALHAR
Hemmingen é um município da Alemanha.	HEMMINGEN MUNICÍPIO ALEMANHA
Mierscheid foi um político da Alemanha.	DT(M-I-E-R-S-C-H-E-I-D) POLÍTICO ALEMANHA IR
Harry é um ator estadunidense.	DT(H-A-R-R-Y) ESTADUNIDENSE ATOR
Dedico este livro à minha filha.	MEU ESTE LIVRO MULHER FILHO EU DEDICAR
Não acredites em tudo o que ouves.	TU OUVIR ACREDITAR (NÃO)
Em primeiro lugar, quero expressar o meu agradecimento muito especial à minha professora Ana Costa.	PRIMEIRO DT(A-N-A) DT(C-O-S-T-A) MEU LUGAR AGRADECIMENTO MEU ESPECIAL MULHER PROFESSOR EXPRESSAR QUERER
A esta carta assim respondeu Meier: Sim.	ASSIM CARTA ESTE DT(M-E-I-E-R) SIM RESPONDER
Mata-me com palavras!	EU PALAVRAS MATAR
Não tenho interesse em amar-te.	INTERESSE TU AMAR NÃO_TER {NÃO}(headshake)
Ambos tinham o mesmo desejo de se encontrarem.	AMBOS DESEJO TER ENCONTRAR
Você tem um mais barato?	{VOCÊ BARATO MAIS TER}(q)
A minha irmã morreu no ano passado.	MULHER IRMÃO ANO MEU PASSADO PASSADO
Você quer dançar?	{VOCÊ DANÇAR QUERER}(q)
Você gosta de chocolate branco?	{BRANCO VOCÊ CHOCOLATE GOSTAR}(q)
Peter compra um gato.	DT(P-E-T-E-R) GATO COMPRAR
Por que é que ele não diz a verdade?	{ELE VERDADE DIZER NÃO}(q)
Preciso telefonar para Portugal.	PRECISO TELEFONAR PORTUGAL
Queria cinco ananases.	5 ANANÁS ELE QUERER
Há elevador?	{ELEVADOR HAVER}(q)
Têm lugar para uma tenda?	{TENDA LUGAR ELES TER}(q)
O que é que achaste do filme?	{O FILME ACHAR}(q)
O meu gato tem queimaduras do sol.	GATO QUEIMADURAS MEU TER
Este fórum é maravilhoso.	FÓRUM ESTE MARAVILHOSO
Eles bebem muita limonada.	ELES LIMONADA MUITA BEBER
Eu não compreendo.	EU COMPREENDER (NÃO)
Ontem eu comprei uma camiseta vermelha.	ONTEM VERMELHO EU CAMISETA COMPRAR
Não me lembro!	EU LEMBRAR (NÃO)
É possível eles irem ao supermercado hoje.	HOJE POSSÍVEL ELES IRAR SUPERMERCADO
É necessário eu ir trabalhar.	NECESSÁRIO EU TRABALHAR
Eu li que outros idiotas têm a mesma opinião.	IDIOTAS EU OUTRO TER MESMA OPINIÃO LER
Dizem que a Maria anda como um francês.	MARIA ANDAR COMO FRANCÊS DIZER
Deixem-me passar!	EU PASSADO PASSADO DEIXAR
Quer que lhe diga o que espero?	{LHE DIZER O QUERER ESPERAR}(q)
Muito obrigada por esta viagem maravilhosa.	MARAVILHOSO ESTE VIAGEM
São pessoas celebérrimas.	PESSOA CELEBÉRRIMAS
Queria dois quilos de cebolas.	QUILO 2 CEBOLA ELE QUERER
São cinco mil euros para uma semana.	EURO 5000 SEMANA
Ele subia a ponte.	ELE PONTE SUBIR
Trabalha toda a noite.	ELE TRABALHAR NOITE
O meu filho é viúvo.	FILHO VIÚVO MEU
Tenho duas sobrinhas.	2 MULHER SOBRINHO EU TER
Quero provar este vestido azul.	ESTE AZUL VESTIDO PROVAR EU QUERER
O autor é brasileiro.	AUTOR BRASILEIRO
Sinto-me sexy.	SEXY EU SENTIR
Sinto-me mais feliz do que alguma vez me senti.	FELIZ MAIS DO QUE EU ALGUM EU SENTIR SENTIR
Nós glorificaremos o militar.	NÓS MILITAR GLORIFICAR
Quero falar do meu amor.	AMOR MEU FALAR EU QUERER
Os amigos que tenho são os melhores que alguém poderia ter.	AMIGO MELHORES ALGUÉM TER TER PODER
Ninguém falou comigo.	NINGUÉM COMIGO FALAR
Os dois poemas exprimem o sofrimento humano.	HUMANO POEMA SOFRIMENTO 2 EXPRIMIR
Vem adormecer nos meus braços.	MEU NÓS BRAÇOS ADORMECER VIR
Meu pai é empresário.	PAI EMPRESÁRIO MEU
Ela recebe 5% dos meus lucros.	MEU 5 LUCRO ELE RECEBER
Tenho medo que os meus desejos não sejam cumpridos.	DESEJOS MEDO MEU TER CUMPRIR (NÃO)
Estava zangada com toda a gente.	ZANGAR TODA A GENTE
Sou alguém que aprendeu a ser o que é.	ALGUÉM O APRENDER SER
A mulher está sempre ao lado do homem.	SEMPRE MULHER LADO HOMEM
Uma pessoa idosa é uma ponte entre o passado e o presente.	PESSOA PONTE PRESENTE
Um bebê é uma ponte entre o presente e o futuro.	BEBER PONTE PRESENTE
A preparação para um bebê é um trabalho grande.	PREPARAÇÃO BEBER TRABALHO GRANDE
É preciso ter cuidado com conselhos grátis.	GRÁTIS PRECISO CUIDADO CONSELHOS
Nossa escola oferece o curso de preparação para o exame internacional de acupunctura.	INTERNACIONAL ESCOLA PREPARAÇÃO CURSO EXAME ACUPUNCTURA NOSSO OFERECER
Nossa escola é uma das mais bem equipadas.	BEM ESCOLA NOSSO MAIS EQUIPAR
O meu sobrinho tem um distúrbio hemorrágico.	HEMORRÁGICO SOBRINHO DISTÚRBIO MEU TER
Isto me dá forças para continuar.	ELE EU FORÇAS DAR CONTINUAR
Tenho um olho de vidro.	OLHO VIDRO EU TER
Sei que algumas pessoas valorizam meu trabalho.	MEU ALGUM PESSOA ELES VALORIZAR TRABALHO SABER
Adoro a natureza.	NATUREZA EU ADORAR
É verdade que você é uma boa pessoa?	{VERDADE VOCÊ BOM PESSOA}(q)
Sou uma pessoa realista.	PESSOA REALISTA
Eu odeio os meus vizinhos.	EU VIZINHOS MEU ODIAR
Odeio o modo como fala comigo.	COMO MODO ELE FALAR COMIGO ODIAR
Há muita gente que adora Fado.	GENTE FADO MUITA HAVER ADORAR
Qualquer rádio portuguesa devia tocar fado porque é a nossa música.	PORQUE RÁDIO NOSSO QUALQUER FADO DEVER MÚSICA
O meu pai adora tocar guitarra.	PAI GUITARRA MEU TOCAR ADORAR
O meu pai é meu amigo porque me dá muitos brinquedos.	PORQUE PAI MEU AMIGO MEU MUITOS EU DAR BRINQUEDOS
Estar na internet não é um luxo.	INTERNET LUXO (NÃO)
O meu pai ganhou 11 Grammys ao longo de sua carreira.	PAI MEU SEU 11 CARREIRA GANHAR
Tinha 1,83m de altura e pesava 180kg.	ALTURA 0 EU TER 0 ELE PESAR
Eu tenho um amigo que me ama.	EU EU AMIGO TER AMAR
Como posso ajudar um amigo a deixar de fumar?	AMIGO AJUDAR EU PODER FUMAR DEIXAR COMO (NÃO)
Somos praticamente irmãos.	PRATICAMENTE IRMÃOS
Eu não tenho um computador em casa.	EU COMPUTADOR CASA NÃO_TER {NÃO}(headshake)
Esta é a primeira viagem oficial do ministro.	ESTA PRIMEIRO OFICIAL VIAGEM MINISTRO
À noite desfrutámos da vida noturna.	NOTURNA NOITE VIDA DESFRUTAR
É a minha primeira visita ao dentista.	VISITA MEU PRIMEIRO DENTISTA
É a primeira viagem da minha vida.	MEU PRIMEIRO VIAGEM VIDA
Eu sei que tu sabes que eu sei.	EU TU EU SABER QUE SABER SABER
O projeto é uma iniciativa do município.	PROJETO INICIATIVA MUNICÍPIO
Eu iniciei este tópico.	EU ESTE TÓPICO INICIAR
Nos meus tempos de escola eu normalmente ia para a cama às dez.	NORMAL MEU EU TEMPO ESCOLA CAMA 10 IR
Quando eu estudava eu normalmente ia dormir às dez horas.	QUANDO NORMAL EU EU 10 DORMIR HORA ESTUDAR
Não envelheça, fique mais experiente!	EXPERIENTE MAIS ELE ENVELHECER (NÃO)
Me desculpe por estar atrasado.	EU DESCULPAR ATRASAR
O soldado foi morto em ação.	SOLDADO AÇÃO MATAR
As aranhas esperam os insetos serem pegos nas teias. É assim que elas conseguem comida.	ARANHAS ESPERAR PEGOS INSETOS TEIAS ASSIM ELAS COMER CONSEGUIR
Rir é o melhor remédio.	RIR MELHOR REMÉDIO
Eles não decidem coisas importantes.	IMPORTANTES ELES COISA DECIDIR (NÃO)
Eles não tomam decisões importantes.	IMPORTANTES ELES MULHER DECISÃO TOMAR (NÃO)
Ela tem senso de humor.	SENSO HUMOR ELE TER
É difícil convencer John.	DIFÍCIL CONVENCER DT(J-O-H-N)
Não temos escolha a não ser continuar.	ESCOLHA CONTINUAR NÓS NÃO_TER {NÃO}(headshake)
Não podemos fazer nada além de continuar.	NADA CONTINUAR FAZER PODER (NÃO)
A guerra trouxe a ruína para o país.	GUERRA RUÍNA PAÍS TRAZER
Essa lei vai nos tirar nossos direitos básicos.	LEI NOSSO ESSE BÁSICOS DIREITOS TIRAR IR
Este livro é um resultado da pesquisa que ele fez com muito entusiasmo.	RESULTADO ELE ESTE LIVRO PESQUISA ENTUSIASMO FAZER
Eu a persuadi a ficar em casa.	EU A CASA FICAR PERSUADIR
Onde ele mora?	ELE MORAR ONDE (NÃO)
Onde ele vive?	ELE VIVER ONDE (NÃO)
Ele tem sempre sido gentil comigo.	SEMPRE ELE TER GENTIL COMIGO
Ele sempre foi gentil comigo.	SEMPRE ELE GENTIL COMIGO IR
Mudar-se para um lugar menor vai reduzir as despesas.	MENOR LUGAR REDUZIR DESPESAS ELE MUDAR
Eles construíram uma ponte sobre o rio.	ELES PONTE RIO CONSTRUIR
Ele fez o contrário do que eu pedi.	ELE EU CONTRÁRIO DO QUE FAZER PEDIR
Temos que acordar cedo amanhã de manhã?	{CEDO AMANHÃ MANHÃ ACORDAR}(q)
Eu dormi bem.	BEM EU DORMIR
Parece que você não está se divertindo aqui.	AQUI VOCÊ DIVERTIR PARECER (NÃO)
Papai vai se operar.	PAPAI OPERAR
Meu pai vai passar por uma cirurgia.	PAI CIRURGIA MEU PASSADO
